"Language/Locale","App Name (Max 30)","Short Description (Max 80)","Full Description (Max 4000)"
"en","NeoTune: Radio & Podcasts","Listen to global AM/FM radio, music channels, podcasts, and relaxing lo-fi.","Experience global radio, popular podcasts, and relaxing lo-fi tunes with NeoTune. Browse thousands of live AM/FM stations by genre, country, or language, and stream high-quality audio seamlessly. Perfect for discovering local and international broadcasts. Enjoy custom theme selections, a built-in equalizer, sleep timer, car mode layout, and sleep-ready screensaver visualization. Keep track of your favorites and manage playback with a fluid, modern interface designed for ease of use."
"af","NeoTune: Radio & Podcasts","Luister na globale AM/FM-radio, podsendings en ontspannende lo-fi.","Ervaar globale radio, gewilde podsendings en ontspannende lo-fi-musiek met NeoTune. Bloei duisende regstreekse AM/FM-stasies volgens genre, land of taal, en stroom naatloos klank van hoë gehalte. Perfek vir die ontdekking van plaaslike en internasionale uitsendings. Geniet pasgemaakte tema-opsies, ingeboude gelykmaker, slaaptydhouer, motorskakel-uitleg en skermbeskermer-visualisering."
"am","NeoTune: የሬዲዮ እና ፖድካስት","የአለም ኤም/ኤфኤም ሬዲዮ ፣ ፖድкаስቶች እና ሎ-ფი ያዳምጡ።","በአለም አቀф ደረጃ በሺዎች የሚቆጠሩ የቀጥታ የኤфኤም/ኤም ሬዲዮ ጣቢያዎችን እና ፖድካስቶችን ያዳምጡ። በNeoTune ከፍተኛ ጥራት ያለው ኦዲዮ ያግኙ። የተመረጡ ጭብጦችን، የእንቅልф ሰዓት ቆጣሪን، የመኪና ሁነታን እና ድምጽ አመጣጣኝን ያካትታል።"
"ar","NeoTune: راديو وبودكاست","استمع إلى راديو AM/FM العالمي والبودكاست وموسيقى لو-في الهادئة.","استمتع بالبث المباشر لآلاف محطات الراديو العالمية والبودكاست الشهيرة مع تطبيق NeoTune. تصفح المحطات بسهولة حسب النوع أو البلد أو اللغة واستمتع بصوت عالي الجودة. يتميز التطبيق بمظهر أنيق، وموازن صوت، ومؤقت نوم، ووضع قيادة مخصص للسيارة لتجربة استماع مريحة وآمنة."
"az","NeoTune: Radio və Podkast","Qlobal AM/FM radio, podkast və rahatlaşdırıcı lo-fi dinləyin.","NeoTune ilə qlobal radio, populyar podkastlar və rahatlaşdırıcı lo-fi musiqilərindən zövq alın. Janr, ölkə və ya dilə görə minlərlə canlı AM/FM stansiyasını asanlıqla tapın və yüksək keyfiyyətli səs yayımının dadını çıxarın. Xüsusi mövzu seçimləri, ekvalayzer, yuxu taymeri, avtomobil rejimi və ekran qoruyucu vizuallaşdırma daxildir."
"bg","NeoTune: Радио и Подкасти","Слушайте световно AM/FM радио, подкасти и релаксиращ lo-fi.","Слушайте радио на живо от цял свят, популярни подкасти и релаксираща ло-фи музика с NeoTune. Разглеждайте хиляди станции по жанр, държава или език с кристално чисто качество на звука. Насладете се на персонализирани теми, еквалайзер, таймер за заспиване, режим за кола с големи бутони и красив скрийнсейвър."
"bn","NeoTune: রেডিও ও পডকাস্ট","বিশ্বব্যাপী AM/FM রেডিও, পডকাস্ট এবং লো-ফাই শুনুন।","NeoTune এর সাথে বিশ্বজুড়ে হাজার হাজার লাইভ AM/FM রেডিও স্টেশন, জনপ্রিয় পডকাস্ট এবং আরামদায়ক লো-ফাই মিউজিক উপভোগ করুন। জঁরা, দেশ বা ভাষা অনুযায়ী স্টেশন খুঁজুন এবং উচ্চ-মানের অডিও শুনুন। এতে রয়েছে কাস্টম থিম, ইকুয়ালাইজার, স্লিপ টাইমার এবং গাড়ি চালানোর জন্য বিশেষ কার মোড।"
"ca","NeoTune: Ràdio i Podcasts","Escolta ràdio AM/FM global, podcasts i música lo-fi relaxant.","Gaudeix de la ràdio global en directe, podcasts populars i música lo-fi relaxant amb NeoTune. Navega per milers d'estacions AM/FM per gènere, país o idioma i reprodueix àudio d'alta qualitat. Inclou personalització de temes, equalitzador, temporitzador de son, mode cotxe i estalvi de pantalla animat."
"cs","NeoTune: Rádio a Podcasty","Poslouchejte světová AM/FM rádia, podcasty a relaxační lo-fi.","Zažijte světové rádio naživo, populární podcasty a relaxační lo-fi hudbu s aplikací NeoTune. Procházejte tisíce AM/FM stanic podle žánru, země nebo jazyka v nejvyšší kvalitě zvuku. Využijte vlastní témata, ekvalizér, časovač vypnutí, režim do auta s velkými tlačítky a spořič obrazovky."
"da","NeoTune: Radio & Podcasts","Lyt til global AM/FM-radio, podcasts og afslappende lo-fi.","Oplev global live radio, populære podcasts og afslappende lo-fi-musik med NeoTune. Gennemse tusindvis af AM/FM-stationer efter genre, land eller sprog med uovertruffen lydkvalitet. Indeholder tilpasning af temaer, equalizer, sleep-timer, bil-tilstand med store knapper og pauseskærm."
